359,117,
293,118,
203,83,
242,106,
246,103,
267,91,
261,87,
363,132,
446,165,
391,165,
363,151,
379,143,
374,153,
474,180,
625,225,
741,294,
720,287,
668,252,
577,213,
491,193,
397,125,
313,120,
221,97,
187,78,
212,93,
254,109,
255,108,
211,91,
171,74,
169,63,
173,51,
184,60,
238,76,
317,112,
319,104,
502,197,
557,198,
564,202,
631,224,
482,191,
351,135,
299,124,
296,115,
292,119,
275,100,
322,139,
349,149,
240,103,
250,109,
236,108,
269,108,
403,129,
343,117,
395,146,
353,131,
402,151,
491,191,
583,230,
569,229,
484,184,
454,161,
370,134,
316,126,
228,79,
218,82,
216,84,
171,71,
157,67,
140,52,
157,68,
236,80,
284,119,
301,117,
324,137,
328,135,
351,124,
338,136,
244,81,
253,87,
201,69,
199,60,
206,63,
233,77,
214,76,
166,69,
171,80,
178,69,
220,75,
225,83,
275,103,
254,91,
228,100,
255,108,
298,99,
349,128,
349,119,
351,136,
346,128,
309,126,
313,128,
299,111,
303,136,
248,90,
200,80,
203,82,
202,75,
197,69,
288,105,
336,146,
364,141,
275,100,
313,114,
326,100,
344,146,
337,135,
352,126,
373,126,
330,116,
275,108,
259,122,
279,113,
219,94,
226,84,
175,78,
292,127,
262,113,
253,108,
279,108,
260,88,
249,98,
209,73,
229,88,
219,86,
231,92,
264,82,
243,86,
288,106,
262,88,
300,113,
265,115,
220,82,
171,64,
160,59,
135,64,
129,64,
137,60,
161,68,
197,82,
233,97,
257,104,
255,94,
213,95,
288,113,
316,144,
354,121,
332,125,
301,118,
268,100,
314,117,
360,139,
274,110,
242,86,
264,101,
192,62,
164,56,
133,57,
128,61,
145,67,
131,61,
174,74,
187,73,
195,66,
182,82,
184,80,
230,84,
243,92,
266,91,
238,90,
281,112,
322,123,
294,124,
281,137,
238,98,
232,87,
269,114,
222,97,
207,67,
245,77,
241,97,
247,97,
273,91,
280,114,
322,118,
372,142,
396,150,
340,143,
328,131,
262,84,
281,121,
234,92,
