4,425,78,1118,337,44,148,704,284,75,1,14,64,2,31,113,10,52,12,21,3,
5,191,46,708,293,4,83,445,193,80,0,4,68,1,7,74,0,56,2,11,4,
2,165,14,442,92,21,25,225,98,20,0,2,19,1,6,24,1,16,2,12,3,
0,125,23,514,175,14,52,346,142,49,0,0,56,1,5,43,3,33,5,10,1,
0,174,26,648,208,6,53,434,175,48,0,2,52,2,3,50,0,49,2,8,3,
1,210,38,701,247,13,54,462,175,41,0,0,55,2,10,60,1,30,4,4,0,
0,194,28,719,252,26,52,452,199,53,0,4,53,0,22,66,4,34,6,8,1,
2,549,116,1351,549,69,198,1042,497,151,0,12,143,16,60,206,6,112,11,30,5,
19,838,280,1661,844,150,340,1508,700,328,4,29,284,18,138,297,39,202,35,61,17,
11,543,103,1448,475,83,182,1213,598,175,0,24,149,13,60,230,17,149,17,51,14,
3,452,83,1383,612,50,210,1129,520,185,0,6,130,8,49,222,7,158,12,41,9,
5,512,79,1420,489,52,184,989,441,115,0,13,109,6,28,162,6,105,13,32,3,
4,411,84,1160,431,50,179,934,460,135,0,8,112,7,48,187,10,135,16,36,7,
8,785,167,1941,777,96,301,1492,605,227,0,10,198,9,64,254,9,159,21,48,8,
28,1565,314,3274,1376,258,533,2570,1086,372,9,39,281,26,208,501,56,260,53,75,16,
14,1793,365,4572,2018,294,742,3883,1968,679,0,41,528,45,285,848,66,561,65,165,31,
28,1695,457,3964,1600,402,765,3196,1759,578,8,61,466,47,278,791,84,487,95,177,26,
31,1765,340,3876,1668,290,677,2907,1397,403,1,52,386,25,158,613,37,316,61,104,11,
11,1292,231,3190,1420,117,423,2475,1073,360,1,22,338,18,99,439,25,235,35,70,8,
7,938,149,2563,966,75,314,1987,935,266,0,21,223,4,50,323,9,221,22,63,12,
1,700,93,1867,676,60,205,1210,517,109,0,6,124,11,44,192,5,92,8,18,2,
2,393,63,1107,443,32,133,835,366,128,0,1,120,10,30,134,2,99,6,19,6,
2,145,27,416,133,3,59,331,125,52,0,2,40,1,6,61,0,39,3,11,2,
0,73,11,295,102,11,41,220,104,18,0,0,27,0,9,47,1,19,5,5,2,
0,119,18,349,126,2,42,250,120,45,0,1,39,5,5,56,0,27,2,14,2,
0,171,24,484,203,24,72,333,197,48,0,7,46,3,20,80,4,60,10,13,2,
4,206,73,408,243,23,101,407,213,98,0,6,69,1,17,96,3,65,8,22,5,
2,128,17,396,143,13,41,306,130,46,0,2,34,0,7,48,0,36,2,15,4,
0,63,12,238,68,6,30,165,88,21,0,4,24,0,4,32,0,18,3,7,0,
0,77,13,323,87,12,23,176,66,8,0,0,17,0,4,20,2,5,2,2,0,
0,159,17,397,109,8,29,213,73,5,0,1,21,0,6,24,0,2,1,1,0,
0,137,11,400,132,10,36,242,88,18,0,1,14,2,4,41,0,12,1,4,0,
2,250,41,585,202,16,68,443,122,41,0,1,46,1,5,50,1,17,0,6,0,
0,367,59,941,413,39,112,685,286,81,0,6,89,4,35,109,7,58,11,16,2,
9,543,103,1296,448,46,163,795,363,75,0,6,91,4,25,121,2,71,9,11,1,
16,883,201,2521,906,126,342,1774,867,262,1,39,189,28,94,405,16,242,31,94,17,
15,1208,240,3043,1122,184,374,2248,1020,270,0,28,239,14,99,418,25,205,32,63,6,
26,1445,284,3117,1354,167,465,2339,1044,339,0,26,289,18,102,452,20,228,31,76,13,
67,1665,456,3508,1226,370,547,2458,1155,359,4,42,264,19,197,450,76,276,61,103,10,
10,862,139,2575,823,100,277,1820,854,207,0,21,146,22,83,338,11,186,32,70,8,
4,397,57,1161,332,35,130,809,391,84,1,11,69,6,29,166,3,82,12,26,0,
15,378,85,827,258,56,107,653,285,92,0,5,95,3,22,88,21,82,14,16,4,
6,341,87,617,262,61,161,501,261,121,4,18,89,9,73,150,38,103,23,34,5,
5,333,108,1015,494,38,136,790,305,172,1,3,117,8,42,152,5,90,6,17,9,
2,259,64,767,393,67,123,576,264,102,2,11,86,6,53,137,18,54,19,16,2,
9,453,166,1047,514,43,219,963,454,177,0,20,175,0,43,197,8,153,12,34,6,
2,465,100,1530,621,94,255,1349,708,233,0,16,159,18,88,363,19,202,35,82,10,
3,295,54,768,280,42,105,590,306,91,0,15,60,2,25,120,7,78,9,31,5,
5,201,44,646,271,23,90,544,256,78,0,13,77,1,3,80,9,95,7,22,5,
1,265,32,788,248,4,67,591,268,84,0,6,56,1,2,86,0,65,3,28,5,
5,260,46,825,328,45,102,587,254,69,0,3,61,4,36,105,8,70,11,15,2,
10,746,123,1903,727,126,235,1193,536,145,2,9,136,6,62,208,22,89,22,28,2,
4,434,70,1236,414,68,159,712,404,110,1,9,65,6,69,174,26,103,26,43,6,
1,464,61,1855,625,41,167,1230,552,138,0,9,124,7,31,227,6,135,15,37,4,
2,463,63,1528,508,72,152,1070,502,108,0,11,103,3,43,183,6,99,17,26,2,
6,610,87,1825,651,88,199,1232,560,158,1,13,127,13,61,220,11,142,20,38,10,
12,1043,169,3117,1076,111,332,2211,970,274,1,20,239,26,95,368,15,230,23,67,11,
10,1295,235,3629,1532,167,563,2701,1288,467,1,27,335,22,161,597,21,376,47,120,27,
9,1285,247,3526,1282,247,475,2679,1232,420,4,34,327,31,177,476,48,308,59,112,22,
5,770,130,2580,862,127,274,1876,857,275,0,16,175,6,109,308,21,210,29,63,15,
11,918,172,2723,959,124,265,1790,860,250,0,19,204,15,94,283,18,204,24,43,10,
10,770,152,1805,619,90,210,1234,498,123,0,9,132,9,42,177,8,89,14,28,4,
5,415,84,1141,360,32,135,739,393,98,0,7,77,2,16,120,2,97,6,25,5,
0,101,10,453,208,8,53,306,142,39,0,1,41,1,9,61,0,48,5,9,1,
1,138,26,334,135,23,58,269,131,52,0,6,19,4,15,72,3,35,7,17,2,
1,150,32,396,143,3,50,318,164,43,0,6,38,1,5,76,0,36,2,13,1,
2,122,12,346,86,25,38,255,108,28,0,1,22,0,14,29,7,24,8,8,2,
0,53,9,163,88,2,26,110,61,36,0,4,15,0,2,34,0,27,2,14,2,
