94,636,374,13,129,26
50,447,329,2,98,31
34,298,148,4,56,21
35,323,253,5,76,25
38,395,252,2,82,27
45,442,274,4,74,14
43,440,275,9,77,18
99,740,515,14,165,43
158,956,746,32,229,69
94,802,562,16,204,66
76,752,533,13,183,55
98,738,479,12,175,43
85,681,496,17,191,52
143,988,713,20,228,65
240,1533,1047,59,356,90
251,1996,1490,61,536,152
282,1791,1380,73,526,141
262,1688,1184,46,416,99
174,1421,997,30,320,79
137,1174,780,16,276,75
106,906,517,12,156,30
67,611,429,7,131,41
35,305,225,3,84,25
23,244,161,5,67,15
28,281,204,2,76,23
43,361,262,10,111,27
57,371,307,6,106,35
29,301,215,3,68,27
23,198,145,2,57,13
22,227,125,4,36,7
30,270,129,2,32,4
27,277,149,2,48,9
50,391,236,3,60,13
70,573,380,15,119,27
99,645,384,9,122,23
165,1137,778,27,307,84
185,1372,885,32,300,67
218,1404,944,30,315,81
291,1532,1024,68,377,92
129,1161,707,24,277,73
72,661,414,10,163,33
71,514,366,16,122,35
88,454,375,29,147,39
73,554,441,10,118,44
64,478,357,20,113,25
108,569,513,11,169,52
86,757,576,21,241,64
56,432,306,9,121,35
45,400,302,7,114,34
36,437,273,1,102,35
53,483,317,11,108,28
119,895,554,26,175,34
81,655,413,22,163,37
76,848,524,12,194,46
74,755,464,14,162,36
98,879,554,19,193,52
146,1257,813,22,273,75
187,1498,1085,34,384,111
187,1437,1015,50,365,105
123,1132,751,31,262,77
135,1115,715,26,234,60
119,822,504,16,163,40
86,603,399,7,141,40
27,332,228,4,79,18
41,295,201,8,89,22
35,316,216,2,83,20
27,243,150,9,59,16
19,163,142,1,51,20
22,163,131,0,24,9
27,238,164,0,52,11
50,411,251,15,82,16
64,439,336,14,146,39
79,452,366,32,147,31
52,670,416,7,150,48
74,658,427,11,154,39
89,634,437,29,152,29
81,593,455,7,160,41
44,405,226,7,84,12
62,404,259,11,82,15
33,320,159,3,52,12
40,311,170,3,47,7
39,326,196,2,48,13
36,415,237,5,74,14
35,396,259,5,66,22
23,232,143,4,57,18
15,227,201,5,68,26
29,202,152,2,64,15
54,335,216,6,83,14
42,386,234,1,61,20
67,508,319,13,114,24
62,420,255,9,82,23
45,346,210,9,90,30
53,330,295,3,100,28
57,509,314,3,101,18
79,672,438,7,145,37
99,715,394,22,144,31
94,672,521,21,197,59
103,674,496,24,186,40
88,552,422,20,161,46
56,622,456,18,161,42
85,544,402,17,130,34
69,512,486,11,167,62
48,431,259,5,96,20
37,324,183,5,68,17
45,332,192,8,87,19
30,292,203,5,78,16
36,272,186,6,66,13
50,529,329,10,127,26
81,590,507,13,183,66
89,731,525,20,210,54
61,478,297,5,114,25
63,583,393,15,109,36
91,650,385,9,107,24
95,654,425,28,185,49
83,608,437,21,168,43
93,696,442,15,187,41
114,748,485,21,162,33
69,622,414,16,134,29
48,477,274,20,125,21
36,456,311,13,147,40
77,491,330,13,151,42
34,383,258,5,99,28
55,406,248,9,86,18
17,242,183,5,52,18
41,517,381,4,123,43
35,396,285,4,107,31
38,397,265,7,85,28
53,448,319,12,119,29
48,413,252,6,83,19
44,371,263,8,93,24
27,306,183,2,54,13
33,347,210,3,76,17
37,308,220,1,56,28
38,324,223,6,83,28
77,426,233,8,87,15
40,392,243,4,82,18
63,503,332,10,106,27
59,425,277,8,86,18
72,539,381,17,149,33
50,422,293,9,133,40
39,322,201,7,78,17
22,247,149,2,53,11
22,215,130,1,35,10
9,137,99,0,40,12
7,119,82,0,49,12
9,135,92,3,40,10
18,189,139,1,49,12
39,237,166,8,80,16
34,295,254,4,92,25
52,375,279,23,131,32
41,427,273,4,92,20
38,304,231,8,81,26
58,513,344,8,139,35
60,547,441,17,172,50
106,650,460,18,157,30
77,628,409,27,135,34
59,543,368,8,114,31
48,452,288,5,95,28
76,594,431,16,134,28
116,704,528,18,196,49
57,512,372,12,128,36
64,442,243,11,84,15
56,494,339,6,102,29
43,248,149,10,52,8
23,211,138,3,28,7
8,149,83,1,34,7
15,140,97,1,36,9
16,172,118,1,38,14
16,131,78,0,42,11
20,225,157,5,47,14
36,267,191,1,50,15
42,289,173,8,53,10
31,267,182,2,76,25
26,289,180,3,62,17
55,401,251,5,96,20
47,463,288,9,118,24
95,472,308,24,135,23
47,417,269,10,106,24
62,449,373,8,150,36
98,583,479,16,173,47
69,535,400,12,154,41
53,488,398,7,163,56
51,413,258,6,71,24
41,355,227,5,82,16
60,424,325,7,108,36
26,322,229,10,91,23
25,312,206,3,44,11
50,371,216,9,69,10
52,382,268,5,84,23
37,377,288,10,99,22
53,481,285,18,106,18
64,539,323,9,113,28
88,592,422,12,155,31
97,763,575,18,195,59
118,819,566,25,214,56
79,604,440,15,188,55
86,552,449,15,153,42
67,430,294,6,74,16
81,444,400,4,147,50
49,386,261,10,102,26
