1	5	1
1	39	1
1	46	1
1	62	1
1	76	1
1	91	1
1	95	1
2	4	1
2	8	1
2	11	1
2	49	1
2	88	1
3	14	1
3	72	1
3	90	1
4	11	1
4	32	1
4	88	1
5	13	1
5	37	1
5	39	1
5	42	1
5	56	1
5	91	1
5	95	1
6	15	1
6	55	1
6	69	1
6	78	1
6	85	1
7	18	1
7	26	1
7	43	1
7	79	1
7	81	1
8	13	1
8	56	1
8	65	1
8	88	1
8	95	1
9	17	1
9	30	1
9	34	1
9	59	1
9	64	1
9	75	1
9	100	1
10	27	1
10	53	1
10	61	1
11	31	1
11	44	1
11	86	1
12	19	1
12	25	1
13	42	1
13	56	1
13	65	1
13	95	1
14	33	1
14	72	1
15	55	1
15	85	1
16	22	1
16	47	1
16	86	1
16	89	1
17	19	1
17	30	1
17	59	1
17	75	1
18	45	1
18	57	1
18	79	1
18	94	1
19	64	1
19	75	1
20	66	1
20	80	1
21	25	1
21	54	1
21	74	1
21	84	1
22	47	1
22	89	1
22	98	1
23	28	1
23	77	1
24	36	1
24	65	1
24	71	1
24	92	1
25	73	1
25	84	1
26	45	1
26	79	1
26	81	1
27	61	1
28	40	1
28	77	1
28	98	1
29	50	1
29	57	1
29	63	1
29	93	1
29	99	1
30	34	1
30	55	1
30	59	1
30	64	1
30	75	1
30	82	1
31	44	1
31	51	1
32	55	1
32	70	1
32	82	1
34	59	1
34	75	1
35	52	1
35	53	1
35	63	1
35	93	1
36	71	1
37	39	1
37	42	1
37	65	1
38	52	1
38	53	1
39	41	1
39	42	1
39	46	1
39	66	1
39	76	1
39	91	1
40	49	1
40	98	1
41	66	1
41	76	1
41	91	1
42	65	1
42	76	1
42	91	1
42	95	1
43	79	1
43	81	1
43	100	1
44	70	1
45	57	1
45	79	1
46	62	1
46	76	1
46	91	1
47	86	1
48	97	1
49	89	1
49	98	1
50	57	1
50	74	1
50	96	1
51	60	1
51	67	1
51	68	1
52	53	1
53	93	1
54	74	1
54	96	1
55	82	1
56	65	1
57	94	1
57	96	1
58	72	1
59	75	1
60	68	1
61	87	1
62	69	1
62	85	1
63	93	1
63	99	1
64	75	1
64	100	1
65	95	1
66	80	1
67	68	1
69	85	1
70	82	1
71	92	1
73	84	1
74	96	1
76	91	1
78	85	1
79	81	1
89	98	1
94	96	1
