"","x"
"1",0.01
"2",0.0867388167031916
"3",0.0867388167031916
"4",0.0867388167031916
"5",0.0867388167031916
"6",0.0869676355082864
"7",0.0868336425170053
"8",0.0866481137600477
"9",0.0866646052075859
"10",0.0867882910456164
"11",0.0867882910456164
"12",0.0867635538701949
"13",0.0867635538691578
"14",0.0869408369029298
"15",0.0780024737008088
"16",0.0746897546734534
"17",0.0747124304108713
"18",0.0748876520142889
"19",0.0736425479137218
"20",0.0740259740122165
"21",0.0689218717293512
"22",0.0702308801770694
"23",0.0679921665139512
"24",0.0681179137869067
"25",0.0721995464313083
"26",0.0822902493766
"27",0.0822820036422811
"28",0.0823376622697086
"29",0.0814965985754971
"30",0.0816264687169837
"31",0.0813254998463796
"32",0.0811915068535457
"33",0.0813749741785295
"34",0.0813481756026072
"35",0.0819047618744856
"36",0.0811379096682704
"37",0.0811915068614776
"38",0.0765182436240735
"39",0.0572459286452456
"40",0.0563842506447466
"41",0.0580581323150833
"42",0.0591836734459165
"43",0.0594887651968205
"44",0.0571222428238063
"45",0.0604576375654291
"46",0.0581488352722143
"47",0.0580972994936032
"48",0.0584312512564092
"49",0.0566646052157129
"50",0.0565821479737047
"51",0.0509420737646227
"52",0.0509482580569224
"53",0.0504906204538347
"54",0.0504700061453285
"55",0.0498021026232889
"56",0.047610801865686
"57",0.0480354565729683
"58",0.0488311687955667
"59",0.0488311687955667
"60",0.0501257472413056
"61",0.0498660069926142
"62",0.0515337043829797
"63",0.0510884353539781
"64",0.0510987425056507
"65",0.0147969490800823
"66",0.0538857967229882
"67",0.0538796124286509
"68",0.0521706864215626
"69",0.0524963924724492
"70",0.0360317460104123
"71",0.0418037517863038
"72",0.0417398474322828
"73",0.0409915481220772
"74",0.040985363829248
"75",0.0425891568627691
"76",0.0424984539150416
"77",0.0424984539150416
"78",0.022984951548634
"79",0.014094001232511
"80",0.0141125541083057
"81",0.0141104926775719
"82",0.0142073799168826
"83",0.0141207998290116
"84",0.0156009070220172
"85",0.015662749942758
"86",0.0155493712575523
"87",0.0155431869653264
"88",0.0155534941189539
"89",0.0159204287701234
"90",0.0186745000944617
"91",0.0186745000941413
"92",0.0187878787810285
"93",0.0187899402116304
"94",0.0187878787806391
"95",0.0193692022183223
"96",0.0193836322292226
"97",0.0192846835605615
"98",0.0358833230093148
"99",0.0370212327182177
"100",0.0369944341206846
"101",0.0370191712946533
"102",0.03687074828441
"103",0.0369573283708409
"104",0.037311894440234
"105",0.0391630591461861
"106",0.0393403421835846
"107",0.0390022675623426
"108",0.0395629766935694
"109",0.0397237682854106
"110",0.0398495155535551
"111",0.0398495155535551
"112",0.0407153164156788
"113",0.0406637806501251
"114",0.0403916718060707
"115",0.0402762316952845
"116",0.0403483817673666
"117",0.0404225932707261
"118",0.0421954236158346
"119",0.0401793444596649
"120",0.0402968460074105
"121",0.040816326524446
"122",0.0404225932735636
"123",0.0390538033359016
"124",0.0390538033359016
"125",0.0390373118917262
"126",0.0355493712565042
"127",0.0365326736678849
"128",0.0380004122830346
"129",0.0353617810730894
"130",0.0332261389345424
"131",0.0340012368535324
"132",0.0364419707229094
"133",0.0364419707229094
"134",0.0368913626007932
"135",0.0367800453467629
"136",0.0375592661283498
"137",0.0376231704777965
"138",0.0322675736934386
"139",0.0331519274323626
"140",0.0326221397591505
"141",0.0345372088185802
"142",0.0174644403184022
"143",0.0172892187123328
"144",0.0173840445227831
"145",0.0243475571980113
"146",0.0224757781863899
"147",0.0224799010476556
"148",0.0224819624791048
"149",0.021554318694657
"150",0.021554318694657
"151",0.0219459905154163
"152",0.0224098124082651
"153",0.022368583794307
"154",0.022368583794307
"155",0.0219418676519097
"156",0.0218923933162601
"157",0.0218923933162601
"158",0.0218408575504025
"159",0.0222655122609404
"160",0.02258297257841
"161",0.02258297257841
"162",0.0209936095606491
