"","x"
"1",99
"2",228.28640776699
"3",228.28640776699
"4",228.28640776699
"5",228.28640776699
"6",231.06862745098
"7",229.624390243902
"8",225.879807692308
"9",224.837320574163
"10",226.206730769231
"11",226.206730769231
"12",227.24154589372
"13",228.344660194175
"14",232.142857142857
"15",209.925742574257
"16",201.970297029703
"17",202.024752475248
"18",202.445544554455
"19",198.472906403941
"20",202.38
"21",189.054726368159
"22",194.145728643216
"23",186.810945273632
"24",188.05
"25",199.949494949495
"26",227.761421319797
"27",227.741116751269
"28",230.215384615385
"29",228.788659793814
"30",232.712041884817
"31",229.544041450777
"32",228.025773195876
"33",232.073298429319
"34",229.60103626943
"35",233.418848167539
"36",230.265625
"37",232.826315789474
"38",217.461139896373
"39",164.425641025641
"40",158.225
"41",161.477611940299
"42",164.194029850746
"43",166.587939698492
"44",163.184615384615
"45",173.259067357513
"46",169.20942408377
"47",168.197916666667
"48",169.926701570681
"49",163.725388601036
"50",162.675257731959
"51",147.512953367876
"52",149.836842105263
"53",147.890052356021
"54",146.305699481865
"55",144.626943005181
"56",137.958762886598
"57",139.740932642487
"58",141.740932642487
"59",141.740932642487
"60",143.948717948718
"61",143.302564102564
"62",150.539267015707
"63",147.09793814433
"64",149.434554973822
"65",48.4491978609626
"66",160.720430107527
"67",159.844919786096
"68",152.957894736842
"69",157.096774193548
"70",110.16577540107
"71",126.491891891892
"72",125.645161290323
"73",124.362162162162
"74",123.677419354839
"75",129.25
"76",128.313513513513
"77",128.313513513513
"78",73.195652173913
"79",47.1748633879781
"80",46.2566844919786
"81",46.0053191489362
"82",46.2553191489362
"83",45.7883597883598
"84",49.9368421052632
"85",50.3597883597884
"86",49.5445026178011
"87",48.7628865979381
"88",49.0414507772021
"89",49.7061855670103
"90",57.5333333333333
"91",57.5333333333333
"92",58.4145077720207
"93",58.7239583333333
"94",58.4145077720207
"95",60.5026178010471
"96",61.1798941798942
"97",61.25
"98",108.164893617021
"99",111.505319148936
"100",112.591397849462
"101",113.880434782609
"102",113.489130434783
"103",115.602209944751
"104",117.122222222222
"105",123.483146067416
"106",125.375
"107",123.044943820225
"108",125.276836158192
"109",126.431818181818
"110",128.235632183908
"111",128.235632183908
"112",130.649425287356
"113",131.260115606936
"114",131.255813953488
"115",132.470588235294
"116",134.255952380952
"117",134.470238095238
"118",141.271084337349
"119",136.2
"120",135.722891566265
"121",138.072727272727
"122",136.915151515152
"123",131.299401197605
"124",131.299401197605
"125",130.470238095238
"126",119.686390532544
"127",125.387878787879
"128",130.493902439024
"129",123.441717791411
