"","x"
"1",1.98
"2",9.50040404040404
"3",9.50040404040404
"4",9.50040404040404
"5",9.50040404040404
"6",9.52282828282828
"7",9.50969696969697
"8",9.49151515151515
"9",9.49313131313131
"10",9.50525252525252
"11",9.50525252525252
"12",9.50282828282828
"13",9.50282828282828
"14",9.52020202020202
"15",9.28712220762155
"16",8.93517301795883
"17",8.93758212877792
"18",8.95619798510731
"19",8.82391590013141
"20",8.8646517739816
"21",8.32238282961016
"22",8.46145422689444
"23",8.22360928602716
"24",8.23696890056943
"25",8.67060884800701
"26",9.06444444444444
"27",9.06363636363636
"28",9.06909090909091
"29",9.14965986394558
"30",9.16264687693259
"31",9.13254998969285
"32",9.11915069057926
"33",9.13749742321171
"34",9.13481756338899
"35",9.19047619047619
"36",9.11379097093383
"37",9.11915069057926
"38",8.65182436611008
"39",7.46866992778943
"40",7.37130211972979
"41",7.56044723969252
"42",7.68763102725367
"43",7.72210575355229
"44",7.74045244466067
"45",8.13403064947701
"46",7.86159085380686
"47",7.85550960836779
"48",7.89491607881294
"49",7.68645098516176
"50",7.67672099245926
"51",7.5758382118148
"52",7.58364411294619
"53",7.52450719232818
"54",7.52184336707512
"55",7.43553542887587
"56",7.29661941112323
"57",7.35278080697928
"58",7.45801526717557
"59",7.45801526717557
"60",7.47735748534896
"61",7.44379328716036
"62",7.65929675013319
"63",7.60175812466702
"64",7.60309003729355
"65",4.81402763018066
"66",7.96323921150772
"67",7.96244006393181
"68",7.74160895045285
"69",7.78369738945125
"70",6.59865470852018
"71",7.49551569506726
"72",7.48558616271621
"73",7.36931454196028
"74",7.3683536194747
"75",7.61755285073671
"76",7.60345932094811
"77",7.60345932094811
"78",5.81018119068162
"79",4.80679287305122
"80",4.79490022172949
"81",4.79434589800443
"82",4.82039911308204
"83",4.79711751662971
"84",4.94166666666667
"85",4.95729166666667
"86",4.92864583333333
"87",4.92708333333333
"88",4.9296875
"89",5.02239583333333
"90",5.19398148148148
"91",5.19398148148148
"92",5.21944444444444
"93",5.21990740740741
"94",5.21944444444444
"95",5.35
"96",5.35324074074074
"97",5.33101851851852
"98",6.94501366120219
"99",6.97836218375499
"100",6.98998664886515
"101",6.99399198931909
"102",6.96995994659546
"103",6.98397863818425
"104",7.06975184439973
"105",7.37089201877934
"106",7.39973172367539
"107",7.34473507712944
"108",7.43594902749832
"109",7.46210596914822
"110",7.48256203890007
"111",7.48256203890007
"112",7.6234071093226
"113",7.6150234741784
"114",7.57075788061704
"115",7.55197853789403
"116",7.56371562709591
"117",7.57578806170355
"118",7.86418511066398
"119",7.53621730382294
"120",7.55533199195171
"121",7.63983903420523
"122",7.57578806170355
"123",7.35311871227364
"124",7.35311871227364
"125",7.3504359490275
"126",6.78303152246814
"127",6.97303673744523
"128",7.21300977418268
"129",6.78159757330637
"130",6.43242332322211
"131",6.55915065722952
"132",6.95820694304011
"133",6.95820694304011
"134",7.03168183350185
"135",7.01348163127738
"136",7.14088304684867
"137",7.15133131108864
"138",7.0042194092827
"139",7.16877637130802
"140",7.07019562715765
"141",7.42654392021481
"142",5.75420875420875
"143",5.70650953984287
"144",5.73232323232323
"145",7.62794612794613
"146",7.32057971014493
"147",7.32173913043478
"148",7.32231884057971
"149",7.06144927536232
"150",7.06144927536232
"151",7.17159420289855
"152",7.30202898550725
"153",7.2904347826087
"154",7.2904347826087
"155",7.1704347826087
"156",7.15652173913043
"157",7.15652173913043
"158",7.19228521332554
"159",7.31268264172998
"160",7.40268848626534
"161",7.40268848626534
"162",6.9520748100526
"163",6.90648743424898
"164",6.90590298071303
"165",6.90531852717709
"166",4.3417593528817
"167",4.3427704752275
